num,playerID,yearID,stint,teamID,IgID,W,L,G,GS,CG,SHO,SV,Ipouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,prev_salary,salary
25330,shirlbo01,1985,1,NYA,AL,5,5,48,8,2,0,2,327,103,32,5,26,55,0.251,2.64,2,1,0,0,446,9,34,5,4,8,6985115.87317,9123424.59449
25331,shower01,1985,1,SDN,NL,12,11,35,35,5,2,0,699,212,80,27,87,141,0.243,3.09,7,4,5,0,977,0,95,9,5,19,5889411.42248,8363139.21162
25332,siskdo01,1985,1,NYN,NL,4,5,42,0,0,0,2,219,86,43,3,40,26,0.291,5.3,2,1,2,1,341,22,48,3,0,8,3013187.23941,3345255.68465
25333,slatoji01,1985,1,CAL,AL,6,10,29,24,1,0,1,445,162,72,22,63,60,0.284,4.37,1,8,2,0,645,3,82,5,5,19,4793706.97178,4865826.4504
25334,smithbr01,1985,1,MON,NL,18,5,32,32,4,2,0,667,193,72,12,41,127,0.232,2.91,3,1,1,1,890,0,85,13,4,21,3177542.90701,8515196.28819
25335,smithda02,1985,1,HOU,NL,9,5,64,0,0,0,27,238,69,20,3,17,40,0.235,2.27,5,4,1,1,315,46,26,3,1,8,5478522.25347,7906967.98189
25337,smithle02,1985,1,CHN,NL,7,4,65,0,0,0,33,293,87,33,9,32,112,0.242,3.04,6,4,1,0,397,57,35,3,1,12,7341219.81965,8758487.61071
25338,smithmi03,1985,1,MIN,AL,15,14,37,37,8,3,0,771,264,124,25,78,127,0.27,4.34,1,6,15,1,1088,0,134,10,7,21,3670609.90982,5474054.7567
25348,stanlbo01,1985,1,BOS,AL,6,6,48,0,0,0,10,263,76,28,7,30,46,0.237,2.87,10,1,2,0,360,41,30,3,4,11,11778822.845,12894440.0935
25355,stiebda01,1985,1,TOR,AL,14,13,36,36,8,2,0,795,206,73,22,96,167,0.213,2.48,3,4,9,1,1087,0,89,14,2,19,10957044.5069,12164566.126
25357,stoddti01,1985,1,SDN,NL,1,6,44,0,0,0,1,180,63,31,3,37,42,0.269,4.65,7,5,0,0,279,20,35,6,2,4,6094856.00698,8211082.13504
25364,suttodo01,1985,2,CAL,AL,2,2,5,5,0,0,0,95,27,13,6,8,16,0.233,3.69,0,0,0,0,124,0,13,0,0,3,8217783.3802,10826463.8521
25373,terrewa01,1985,1,DET,AL,15,10,34,34,5,3,0,687,221,98,9,95,130,0.255,3.85,5,5,4,0,983,0,107,11,7,27,1944875.39998,3162787.19276
25376,thurmma01,1985,1,SDN,NL,7,11,36,23,1,1,2,415,154,61,9,44,57,0.291,3.97,5,0,3,0,592,4,70,12,4,16,1424415.7859,3284432.85402
25381,troutst01,1985,1,CHN,NL,9,7,24,24,3,1,0,422,142,53,8,63,44,0.27,3.39,7,2,1,1,601,0,57,7,5,22,7012508.48444,10826463.8521
25383,tudorjo01,1985,1,SLN,NL,21,8,36,36,14,10,0,825,209,59,14,49,169,0.209,1.93,4,4,5,0,1062,0,68,4,3,20,5012847.86192,12164566.126
25387,violafr01,1985,1,MIN,AL,18,14,36,36,9,0,0,752,262,114,26,68,135,0.268,4.09,3,6,2,2,1059,0,136,5,5,17,4108891.6901,8198917.56892
25390,waddeto01,1985,1,CLE,AL,8,6,49,9,1,0,9,338,104,61,20,39,53,0.246,4.87,8,1,1,0,471,28,61,5,4,5,1369630.56337,3284432.85402
25400,welchbo01,1985,1,LAN,NL,14,4,23,23,8,3,0,502,141,43,16,35,96,0.225,2.31,2,7,6,4,675,0,49,6,2,6,7053597.40134,9047396.0562
25403,whitsed01,1985,1,NYA,AL,10,8,30,30,2,2,0,476,201,86,19,43,89,0.309,4.88,0,1,2,0,705,0,100,3,7,14,8765635.60555,9731652.90079
25411,wittmi01,1985,1,CAL,AL,15,9,35,35,6,1,0,750,228,99,22,98,180,0.243,3.56,6,11,4,1,1049,0,115,4,5,26,7487310.09406,11353590.9961
25419,youngma01,1985,1,SEA,AL,12,19,37,35,5,2,1,655,242,119,23,76,136,0.282,4.91,3,6,7,2,951,2,135,7,3,19,1742170.0766,2493736.05583
25422,aasedo01,1986,1,BAL,AL,6,7,66,0,0,0,34,245,71,27,6,28,67,0.234,2.98,2,4,0,0,337,58,29,3,2,7,6575278.69775,6848152.81683
25424,ackerji01,1986,2,ATL,NL,3,8,21,14,0,0,0,285,100,40,7,26,37,0.274,3.79,3,2,1,0,402,3,47,6,4,8,4027358.20237,3834965.57743
25427,aguilri01,1986,1,NYN,NL,10,7,28,20,2,0,0,425,145,61,15,36,104,0.263,3.88,1,5,7,3,605,2,70,6,5,8,1424643.71784,2136623.67885
25434,anderla02,1986,2,HOU,NL,2,1,38,0,0,0,1,194,64,20,2,23,33,0.276,2.78,10,1,1,0,268,7,22,8,4,7,657527.869775,3287113.35208
25442,assenpa01,1986,1,ATL,NL,7,3,61,0,0,0,7,205,61,19,5,26,56,0.241,2.5,4,2,0,3,287,27,23,7,1,7,657527.869775,876563.560555
25445,bailesc01,1986,1,CLE,AL,10,10,62,10,0,0,7,338,123,62,12,43,60,0.276,4.95,5,4,1,2,500,22,70,7,4,10,657527.869775,876563.560555
25449,bannifl01,1986,1,CHA,AL,10,14,28,27,6,1,0,496,162,65,17,48,92,0.259,3.54,0,5,2,0,688,0,81,7,5,16,10191681.9815,10190051.3914
25453,bedrost01,1986,1,PHI,NL,8,6,68,0,0,0,29,271,79,34,12,34,82,0.232,3.39,10,5,0,2,381,56,39,3,3,4,7123218.58922,11504896.7323
25458,bielemi01,1986,1,PIT,NL,6,11,31,27,0,0,0,446,149,77,10,83,83,0.262,4.66,3,7,2,5,667,0,87,7,6,7,1210947.16017,1205274.89576
25459,birkbmi01,1986,1,ML4,AL,1,1,7,4,0,0,0,66,24,11,0,12,13,0.282,4.5,0,1,0,0,97,2,12,0,0,4,657527.869775,766993.115485
25462,blackbu02,1986,1,KCA,AL,5,10,56,4,0,0,9,363,100,43,14,43,68,0.225,3.2,5,2,7,2,503,26,49,4,4,9,7068424.60008,6574226.70416
